Tick,S0,S1,S2,S3,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
3010,190,286,123,285,-0.171875,1.996094,-0.617188,-154.29689,146.972672,56.152348,0.3125,-0.109375,-0.171875
3011,191,287,122,287,-0.292969,1.996094,-0.691406,-243.164078,104.980476,-10.742188,0.304688,-0.117188,-0.195313
3012,191,290,124,286,0.371094,1.996094,-0.589844,-125.000008,-26.855471,-228.51564,0.289063,-0.140625,-0.210938
3013,198,293,123,292,1.996094,1.996094,-0.757813,-2.929688,-186.035172,-250.000015,0.242188,-0.171875,-0.234375
3014,197,293,123,292,1.996094,1.996094,-0.730469,-83.984383,-115.722664,-250.000015,0.203125,-0.210938,-0.257813
3015,192,290,122,289,1.996094,1.535156,-0.683594,-124.511726,9.765626,-225.585953,0.203125,-0.210938,-0.257813
3016,191,290,122,288,1.996094,0.632813,-0.9375,-108.398445,89.355476,-131.835953,0.179688,-0.25,-0.265625
3017,190,290,121,286,1.988281,-0.160156,-1.023438,-77.148445,88.867195,-72.753914,0.164063,-0.273438,-0.25
3018,190,291,121,287,1.574219,-1.4375,-0.914063,-9.765626,7.8125,12.207032,0.15625,-0.273438,-0.25
3019,190,291,121,285,1.738281,-1.589844,-0.730469,77.636726,-83.984383,134.76564,0.179688,-0.257813,-0.265625
3020,189,291,122,286,1.996094,-0.949219,-0.59375,101.562508,-109.375008,246.582047,0.179688,-0.257813,-0.265625
3021,189,292,121,286,1.996094,0.082031,-0.457031,98.144539,-64.453133,249.511734,0.21875,-0.210938,-0.265625
3022,189,292,121,285,1.984375,1.328125,-0.527344,103.027351,-10.253907,249.511734,0.28125,-0.164063,-0.257813
3023,189,293,122,285,1.675781,1.894531,-0.691406,138.183609,2.441406,249.511734,0.359375,-0.132813,-0.242188
3024,190,292,121,286,1.8125,1.996094,-0.777344,202.148453,-31.738283,249.511734,0.445313,-0.117188,-0.210938
3025,189,293,122,286,1.996094,1.996094,-0.695313,208.496109,12.695313,249.511734,0.445313,-0.117188,-0.210938
3026,191,293,122,285,1.660156,1.996094,-0.796875,190.429703,81.054695,249.511734,0.539063,-0.117188,-0.179688
3027,189,293,121,288,1.335938,1.996094,-0.828125,202.148453,120.605476,249.511734,0.625,-0.164063,-0.164063
3028,190,296,121,288,0.050781,1.996094,-0.914063,170.410172,165.527359,249.511734,0.6875,-0.21875,-0.164063
3029,190,297,120,287,-2,1.996094,-0.8125,186.523453,122.558601,249.511734,0.734375,-0.28125,-0.171875
3030,189,297,121,288,-2,1.996094,-0.023438,159.179703,9.277345,249.511734,0.734375,-0.28125,-0.171875
3031,189,297,120,286,-2,1.996094,0.636719,44.433598,-87.402351,128.417984,0.757813,-0.328125,-0.148438
