SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.231R
DeviceName: Sensoria-C1-8462
SerialNumber: E22EC481EC559DCF
Location: 0x0000
Start: 2024-02-26T15:05:06-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,5582,1760,328,161,181,0.006348,-0.006836,1.037598,1.338750,-3.823750,-0.227500,0.044676,-0.200896,-0.436102,,160,143,127,115,916,,,,,,,,,-49,15:05:07.856,
,,5583,1780,329,160,183,0.004395,-0.004883,1.038574,1.268750,-3.780000,-0.192500,0.044676,-0.200896,-0.436102,,159,141,127,117,916,,,,,,,,,-49,15:05:07.886,
,,5584,1800,325,158,183,0.006836,-0.005371,1.036133,1.303750,-3.762500,-0.227500,0.045698,-0.194034,-0.443402,,160,140,128,114,915,,,,,,,,,-49,15:05:07.916,
,,5585,1820,328,160,184,0.008301,-0.006348,1.037109,1.347500,-3.832500,-0.140000,0.042048,-0.195202,-0.439168,,159,142,130,115,916,,,,,,,,,-49,15:05:07.917,
,,5586,1840,327,160,183,0.006836,-0.006348,1.034668,1.417500,-3.788750,-0.140000,0.043800,-0.194034,-0.443402,,162,142,128,114,917,,,,,,,,,-49,15:05:07.947,
,,5587,1860,328,162,183,0.008789,-0.006836,1.036133,1.400000,-3.771250,-0.192500,0.041318,-0.196516,-0.435226,,161,142,125,116,915,,,,,,,,,-49,15:05:07.976,
,,5588,1880,329,159,182,0.003906,-0.005371,1.030762,1.330000,-3.753750,-0.140000,0.042632,-0.194034,-0.436540,,161,141,127,117,914,,,,,,,,,-49,15:05:07.977,
,,5589,1900,328,159,183,0.005859,-0.005859,1.037598,1.330000,-3.745000,-0.166250,0.042632,-0.194034,-0.436540,,161,140,128,116,916,,,,,,,,,-49,15:05:08.006,
,,5590,1920,329,159,183,0.003906,-0.005859,1.038574,1.330000,-3.815000,-0.166250,0.044530,-0.190092,-0.440774,,160,142,129,116,915,,,,,,,,,-49,15:05:08.036,
,,5591,1940,326,159,184,0.008301,-0.004395,1.034668,1.321250,-3.806250,-0.201250,0.046866,-0.195494,-0.429824,,159,144,128,115,916,,,,,,,,,-49,15:05:08.037,
